epoch,tr_loss,tr_cls,tr_seg,val_acc,val_auc,val_dice,val_fgrec,val_comp
1,2.9857451029836315,0.11031844172400737,2.765108221431068,0.5105189340813464,0.5137931577125232,0.11112341824599414,0.45658263292532697,0.3758290784364056
2,2.7228358914299253,0.09019465459448717,2.5424465906829985,0.5399719495091164,0.5461240676045699,0.20670905737783524,0.6778711482695038,0.48382368873602966
3,2.4635911559697,0.0874118694412265,2.2887674187494116,0.5596072931276297,0.568536965347937,0.28863378047502236,0.4901960782940627,0.46106374376990034
4,2.2006105840964327,0.08660614384072167,2.027398293032338,0.5694249649368864,0.6087243886318572,0.3487024155795295,0.5966386552950592,0.5270920767151195
5,2.0675452770319005,0.08664048181704578,1.8942643161389225,0.5385694249649369,0.6587354042740692,0.373939629953292,0.9467787112193896,0.6597096640614322
6,1.8775621239686433,0.08447427495789155,1.708613575088068,0.6633941093969145,0.7369622006105813,0.41069882077243863,0.8543417364553664,0.674297047412574
7,1.7486398096712135,0.08077152438622165,1.5870967584346838,0.7363253856942497,0.814622478204765,0.44162697887507263,0.7366946776647914,0.6793454882438652
8,1.6271503551948794,0.07340141117514463,1.4803475339818608,0.7812061711079944,0.8731548799294998,0.43555352522688984,0.6974789914012663,0.6891717069602468
9,1.5926268647794855,0.0691314070082749,1.454364049399669,0.8316970546984572,0.9097346803890096,0.4804703497147861,0.8151260501918414,0.7525727921275922
10,1.5012144243268117,0.06371051059587478,1.3737934041629798,0.8246844319775596,0.9165329052969502,0.4727902816261585,0.7450980390069752,0.7319796583087201
11,1.449853969391603,0.06154888049278357,1.32675620744373,0.8288920056100981,0.9195543385893684,0.49321937364857404,0.778711484375711,0.749400992843033
12,1.3483149902111398,0.06051505168028715,1.2272848847910849,0.7896213183730715,0.9156831271834577,0.4986205461555022,0.9411764703246004,0.7982123558174139
13,1.3231146095171133,0.05798292233665162,1.207148765922759,0.8387096774193549,0.9313017341768168,0.49618683464261665,0.8347338933236039,0.771796912060593
14,1.2705947728918723,0.05777540682120624,1.15504395944265,0.8330995792426368,0.9293110502628018,0.4865181533624979,0.8319327728762093,0.7672596979767328
15,1.24122651153173,0.055994743967899024,1.1292370228851378,0.8485273492286115,0.934393982312026,0.49936003581534666,0.8263305319814199,0.7714647632638403
16,1.198763711141047,0.05516943206496668,1.088424848658698,0.8639551192145862,0.9415305448021906,0.5059003734762887,0.8207282910866307,0.774600817289752
17,1.1499670173848913,0.053845454554151885,1.042276106293654,0.85273492286115,0.9417980675416233,0.5001875474952495,0.8347338933236039,0.7771956592623054
18,1.1402382635731987,0.05490529058964052,1.0304276825397216,0.8639551192145862,0.9417508576464293,0.5276011684139883,0.7899159661652896,0.7719554834323552
19,1.0777826452091948,0.05256442527182823,0.9726537955950384,0.8625525946704067,0.94456771472634,0.502729932216703,0.8095238092970521,0.7715032083446626
20,1.0531756258961507,0.05290627891996077,0.9473630693793996,0.8555399719495091,0.9410033676391905,0.5261770446409135,0.8123249297444467,0.7779519393712842
