epoch,tr_loss,tr_cls,tr_seg,val_acc,val_auc,val_dice,val_fgrec,val_comp
1,2.812092453591964,0.12057890232433291,2.57093464977601,0.511921458625526,0.5153038743587323,0.2701811640435655,0.857142856902761,0.5443187560273909
2,2.3999391383984507,0.09055920195053606,2.218820740896113,0.5329593267882188,0.5591933402574514,0.3242250510397842,0.8039215684022628,0.5621213219355946
3,2.0955487303874074,0.08943228292114594,1.9166841689278098,0.5371669004207573,0.5684228747678847,0.39706548290550236,0.9243697476402325,0.6237997190708743
4,1.8679228389964384,0.08809662908315659,1.6917295838103574,0.5778401122019635,0.6286666351934033,0.40725156241773813,0.7563025207965539,0.6005328790416489
5,1.6555981045260149,0.08624603654093602,1.48310603779905,0.7068723702664796,0.7712051112579863,0.4297644522468917,0.7366946776647914,0.6584197834766995
6,1.5388639534220976,0.081150697631871,1.3765625604811838,0.6942496493688639,0.7839517829603752,0.46069609809729484,0.6162464984268217,0.6366634921413851
7,1.4362590284908519,0.07868069932960411,1.2788976306424422,0.7251051893408135,0.8252683095710194,0.4379579758823325,0.6498599437955574,0.6564526997317748
8,1.3289148318416932,0.07290052760611562,1.1831137839485617,0.7840112201963534,0.8905123847291726,0.48111675249599184,0.7815126048231057,0.7349937610873983
9,1.2996750829850927,0.0682576886323445,1.163159708941684,0.8106591865357644,0.9033849494854124,0.4874693367118929,0.8403361342183931,0.7596956210732507
10,1.2529578492045403,0.06956335629391319,1.1138311371207237,0.7840112201963534,0.9006861171434867,0.5012628215636421,0.8431372546657878,0.7635944697262237
11,1.2518774879329344,0.06866470018730444,1.1145480883472105,0.8120617110799438,0.9032275831680987,0.5071866471106473,0.8039215684022628,0.7546234979211126
12,1.166012578326113,0.06432741333675736,1.037357757196707,0.8218793828892006,0.9187753753186668,0.5126138378524271,0.7282913163226075,0.739781696379977
13,1.1567719917963533,0.06419922021929832,1.0283735519822905,0.8359046283309958,0.9255972051742044,0.5166522038537038,0.8291316524288146,0.7739740389544374
14,1.121335625297883,0.06439774700933519,0.9925401289673412,0.7980364656381487,0.9225521669341894,0.512430166528255,0.9103641454032593,0.79585916035313
15,1.0749414689181482,0.06577724971096305,0.9433869694085683,0.8316970546984572,0.9225915085135178,0.5174475885795283,0.8067226888496575,0.7662876866341628
16,1.0633726166451678,0.06314526754705345,0.9370820829973502,0.8274894810659187,0.9248103735876373,0.5093096672591209,0.731092436770002,0.7420447806437918
17,1.0181463607970407,0.0615329083877013,0.8950805443612968,0.8387096774193549,0.929185157208951,0.5187204098041985,0.7507002799017646,0.7525002697953693
18,1.0268067715799107,0.06144240145188044,0.9039219702867901,0.85273492286115,0.9331271834576528,0.5317891424819201,0.8431372546657878,0.7857287925273735
19,0.9850945069509394,0.05865650538574247,0.8677814993788214,0.8555399719495091,0.9452286532590564,0.5369098734564516,0.8599439773501557,0.7971476165456047
20,0.970733040395905,0.058089576245230784,0.8545538873795201,0.8190743338008415,0.9378875145563844,0.5317303943043413,0.9271708680876272,0.8128253845401443
21,0.9609914587701068,0.058706361619646055,0.8435787379741668,0.8485273492286115,0.9373760740251158,0.5620606164617532,0.8627450977975504,0.8023921438878374
22,0.9264632150530815,0.057596165374578796,0.8112708850380252,0.8373071528751753,0.928178012778145,0.5486927389158118,0.7759103639283164,0.7686521359644964
23,0.9034649005707572,0.058322975965326325,0.7868189504479661,0.8415147265077139,0.9353932584269662,0.5306813292210552,0.817927170639236,0.7787398533288739
24,0.9199859412277446,0.0559390751480618,0.8081077912712799,0.8359046283309958,0.9353617851635037,0.5316371035237774,0.7563025207965539,0.7605266013615009
25,0.8696412418914192,0.05734039935666849,0.7549604476374738,0.8583450210378681,0.9478488024423252,0.5525026212443783,0.8207282910866307,0.7911087946762329
26,0.8674098673988792,0.055920943080940665,0.7555679810836035,0.8401122019635343,0.9431120762911906,0.5519850850757473,0.9243697476402325,0.8201512803312702
27,0.8639640428125859,0.05653955617043025,0.7508849339011837,0.8555399719495091,0.9467157649576685,0.5502435930141089,0.8655462182449449,0.8034232493607836
28,0.7783916479524444,0.05274909107178888,0.6728934671072399,0.8611500701262272,0.9444575583042205,0.5585122039797259,0.8067226888496575,0.7873534911705032
29,0.8090962987612276,0.05350121100542738,0.7020938769421157,0.8387096774193549,0.9462594026374594,0.5755969373540593,0.9103641454032593,0.8242920858821794
30,0.778484062236898,0.05446283381760997,0.6695583933854804,0.8513323983169705,0.9426085040757877,0.5755540972747722,0.8431372546657878,0.8026508072124832
31,0.7848612300613347,0.05276369122404824,0.6793338482870775,0.8541374474053296,0.9467865798004594,0.5751004991270289,0.8543417364553664,0.8075473025949023
32,0.7507038031430805,0.05420990925939644,0.6422839866403272,0.8667601683029453,0.951743618795833,0.5602407747676142,0.9019607840610754,0.81935791516694
33,0.7610136544003206,0.05325033617589404,0.6545129815006957,0.8541374474053296,0.9510669436313851,0.5573203812616796,0.8879551818241022,0.8140094463782885
34,0.7643370243118089,0.05253158428103608,0.6592738561332225,0.8639551192145862,0.9506577912063702,0.564032621195159,0.8039215684022628,0.7906493733617745
35,0.7335875986691783,0.05285077422090313,0.627886050895733,0.8597475455820477,0.9504768199414596,0.5649312675907081,0.8739495795871289,0.8118549821299349
36,0.6940929588149576,0.052476383470382325,0.589140193602618,0.8625525946704067,0.9511377584741761,0.5848750497947554,0.8683473386923396,0.8164218199357989
37,0.7074745367116788,0.0514705352129086,0.6045334667405662,0.8499298737727911,0.9520426147987284,0.5681647953683076,0.8935574227188914,0.819333711345651
