model,threshold,accuracy,auc,precision,forged_recall,specificity,f1,mean_dice,composite
ConvNeXt-Tiny,0.5500000000000002,0.8709677419354839,0.9421049318603847,0.9027355620356426,0.8319327728762093,0.9101123592949122,0.8658892127017654,0.5561679005622864,0.7932721747757026
Swin-V2-Tiny,0.5100000000000001,0.85273492286115,0.9462594026374594,0.8351063827566206,0.8795518204819182,0.8258426963972352,0.8567530694601975,0.5754563212394714,0.8150062035714006
Swin-V2-Base,0.5400000000000001,0.82328190743338,0.9156831271834577,0.793893129568984,0.8739495795871289,0.7724719098953731,0.8319999998890667,0.5005449056625366,0.7786215964482828
